SM,DEPOT,ID,DESC,REQS-4,REQS-3,REQS-2,REQS-1,CREDS,YRS
FY,Fine Arts,AR5410,Photography,VPA PA,VPA PA,VPA PA,VPA PA,5,1
FY,Fine Arts,AR6411,Ceramics & Sculpture I,VPA,VPA,VPA,VPA,5,1
FY,Fine Arts,AR6412,Studio Art I,VPA,VPA,VPA,VPA,5,1
FY,Fine Arts,AR6700,AP Art History,VPA,VPA,VPA,VPA,5,1
FY,Fine Arts,AR6702,AP Drawing,VPA,VPA,VPA,VPA,5,1
FY,Fine Arts,AR6703,AP 2D Art & Design,PA,PA,PA,VPA PA,5,1
FY,Fine Arts,AR6704,AP 3D Art & Design,PA,PA,PA,VPA PA,5,1
FY,Fine Arts,AR6705,Honors Advanced Ceramics & Sculpture II,VPA,VPA,VPA,VPA,5,1
FY,Fine Arts,AR6706,Honors Advanced Studio Art II,VPA,VPA,VPA,VPA,5,1
FY,Fine Arts,AR6707,Honors Advanced Photography,ELECT,ELECT,VPA PA,VPA PA,5,1
FY,Fine Arts,AR8190,LLD Arts & Crafts,VPA,VPA,VPA,VPA,5,1
S1,Business,BU2401,Financial Literacy,PFL,PFL,PFL,PFL,5,0.5
S1,Business,BU2402,Blended Financial Literacy,PFL,PFL,PFL,PFL,5,0.5
S1,Business,BU2410,Financial Investment,ELECT,ELECT,ELECT,ELECT,5,0.5
FY,Business,BU2420,Accounting,ELECT,ELECT,ELECT,ELECT,5,1
S1,Business,BU3403,Principles of Business,PA,PA,PA,PA,5,0.5
S2,Business,BU3404,Marketing,ELECT,ELECT,ELECT,ELECT,5,0.5
FY,Business,BU3405,Entrepreneurship,PA,PA,PA,PA,5,1
FY,Business,BU3415,Entrepreneurship & Bus Leadership,ELECT,ELECT,ELECT,ELECT,5,1
S1,Business,BU3420,Management & Leadership,ELECT,ELECT,ELECT,ELECT,5,0.5
FY,Business,BU3610,Honors Marketing & Merchandising,ELECT,ELECT,ELECT,ELECT,5,1
FY,Business,BU8110,LLD Elements of Financial Literacy,PFL,PFL,PFL,PFL,5,1
SU,Business,BU8833,Online Financial Literacy - Summer,PFL,PFL,PFL,PFL,5,0.5
FY,Special Ed,CC1210,PARCC Support 9,ELECT,ELECT,ELECT,ELECT,5,1
FY,Special Ed,CC1240,PARCC Support 12,ELECT,ELECT,ELECT,ELECT,5,1
FY,Special Ed,CC3401,Physics/Technology,ELECT,ELECT,ELECT,ELECT,5,1
FY,Special Ed,CC5401,American Studies,ENG HIST,ENG HIST,ENG HIST,ENG HIST,10,1
FY,Special Ed,CC5600,Honors American Studies,ENG HIST,ENG HIST,ENG HIST,ENG HIST,10,1
FY,Special Ed,CC8143,Study Skills 9-12,ELECT,ELECT,ELECT,ELECT,5,1
FY,Special Ed,CC8144,Gen Ed Study Skills 9/10/11/12,ELECT,ELECT,ELECT,ELECT,5,1
FY,Special Ed,CC8145,RISE Study Skills,ELECT,ELECT,ELECT,ELECT,5,1
FY,Special Ed,CC8900,Milestones,ELECT,ELECT,ELECT,ELECT,5,1
FY,English,EN1201,English as a Second Language,ENG,ENG,ENG,ENG,5,1
FY,English,EN1400,English I,ENG,ENG,ENG,ENG,5,1
FY,English,EN1490,RISE English I,ENG,ENG,ENG,ENG,5,1
FY,English,EN1590,English I,ENG,ENG,ENG,ENG,5,1
FY,English,EN1600,Honors English I,ENG,ENG,ENG,ENG,5,1
FY,English,EN2400,English II,ENG,ENG,ENG,ENG,5,1
FY,English,EN2490,RISE English II,ENG,ENG,ENG,ENG,5,1
FY,English,EN2590,English II,ENG,ENG,ENG,ENG,5,1
FY,English,EN2600,Honors English II,ENG,ENG,ENG,ENG,5,1
FY,English,EN3310,English III Classic & Contemporary Lit,ENG,ENG,ENG,ENG,5,1
FY,English,EN3400,English III,ENG,ENG,ENG,ENG,5,1
FY,English,EN3490,RISE English III,ENG,ENG,ENG,ENG,5,1
FY,English,EN3510,English III Classic & Contemporary Lit,ENG,ENG,ENG,ENG,5,1
FY,English,EN3520,English III: Reading Science Fiction Literature,ENG,ENG,ENG,ENG,5,1
